"name","country","pop"
"Vologda","Russia","314900"
"Kingston upon Hull","United Kingdom","314018"
"Preston","United Kingdom","313332"
"Ostrava","Czech Republic","313088"
"Varna","Bulgaria","312770"
"Vladimir","Russia","310024"
"Chita","Russia","308500"
"Mannheim","Germany","307960"
"Chernihiv","Ukraine","307684"
"Newport","United Kingdom","306844"
"Craiova","Romania","304142"
"Constanta","Romania","303399"
"Saransk","Russia","303394"
"Malmoe","Sweden","301706"
"Brest","Belarus","300715"
"Surgut","Russia","300367"
"Swansea","United Kingdom","300352"
"Bradford","United Kingdom","299310"
"Vigo","Spain","297332"
"Southend-on-Sea","United Kingdom","295310"
"Sumy","Ukraine","294456"
"Galati","Romania","294087"
"Bialystok","Poland","291855"
"Tambov","Russia","290933"
"Catania","Italy","290927"
"Utrecht","Netherlands","290529"
"Kherson","Ukraine","289096"
"Poltava","Ukraine","288324"
"Sector 4","Romania","287828"
"Marienthal","Germany","287101"
"Karlsruhe","Germany","283799"
"Hamburg-Nord","Germany","280000"
"Yoshkar-Ola","Russia","279100"
"Taganrog","Russia","279056"
"Horlivka","Ukraine","278550"
"Kostroma","Russia","277656"
"Gijon","Spain","277554"
"Bari","Italy","277387"
"Nantes","France","277269"
"Cherkasy","Ukraine","276360"
"Brasov","Romania","276088"
"Komsomolsk-on-Amur","Russia","275908"
"Strasbourg","France","274845"
"Belfast","United Kingdom","274770"
"Nalchik","Russia","272800"
"Wiesbaden","Germany","272432"
"Ljubljana","Slovenia","272220"
"Sector 5","Romania","271575"
"Khmelnytskyi","Ukraine","271263"
"Derby","United Kingdom","270468"
"Muenster","Germany","270184"
"Gelsenkirchen","Germany","270028"
"Sterlitamak","Russia","267231"
"Chernivtsi","Ukraine","266533"
"Eixample","Spain","266477"
"Aachen","Germany","265208"
"Petrozavodsk","Russia","265025"
"Zhytomyr","Ukraine","263507"
"Moenchengladbach","Germany","261742"
"Plymouth","United Kingdom","260203"
"Augsburg","Germany","259196"
"Luton","United Kingdom","258018"
"L'Hospitalet de Llobregat","Spain","257038"
"Espoo","Finland","256760"
"Latina","Spain","256644"
"Bratsk","Russia","256600"
"Rivne","Ukraine","255106"
"Carabanchel","Spain","253678"
"Wolverhampton","United Kingdom","252791"
"Eimsbuettel","Germany","251907"
"Altona","Germany","250192"
"Nis","Serbia","250000"
"Porto","Portugal","249633"
"Montpellier","France","248252"
"Czestochowa","Poland","248125"
"City of Westminster","United Kingdom","247614"
"Chemnitz","Germany","247220"
"Orsk","Russia","246836"
"Southampton","United Kingdom","246201"
"A Coruna","Spain","246056"
"Gdynia","Poland","244969"
"Nizhnevartovsk","Russia","244937"
"Braunschweig","Germany","244715"
"Puente de Vallecas","Spain","244151"
"Angarsk","Russia","243158"
"Mar'ino","Russia","243000"
"Novorossiysk","Russia","241856"
"Khimki","Russia","239967"
"Blackpool","United Kingdom","239409"
"Krefeld","Germany","237984"
"Halle (Saale)","Germany","237865"
"Arhus","Denmark","237551"
"Podgorica","Montenegro","236852"
"Ivano-Frankivsk","Ukraine","236602"
"Kosice","Slovakia","236563"
"Sant Marti","Spain","235719"
"Gasteiz / Vitoria","Spain","235661"
"Yakutsk","Russia","235600"
"Granada","Spain","234325"
"Nizhnekamsk","Russia","234297"
"Kamyanske","Ukraine","233358"
"Hamburg-Mitte","Germany","233144"
"Dzerzhinsk","Russia","233126"
"Kiel","Germany","232758"
"Bordeaux","France","231844"
"Gent","Belgium","231493"
"Syktyvkar","Russia","230139"
"Elche","Spain","230112"
"Milton Keynes","United Kingdom","229941"
"Magdeburg","Germany","229826"
"Ploiesti","Romania","228851"
"Lille","France","228328"
"Ciudad Lineal","Spain","228171"
"Bexley","United Kingdom","228000"
"Kropyvnytskyy","Ukraine","227413"
"Sosnowiec","Poland","227295"
"Staryy Oskol","Russia","226977"
"Neue Neustadt","Germany","226851"
"Radom","Poland","226794"
"Groznyy","Russia","226100"
"Sector 1","Romania","225453"
"Oviedo","Spain","224005"
"Santa Cruz de Tenerife","Spain","222417"
"Graz","Austria","222326"
"Ternopil","Ukraine","221820"
"Shakhty","Russia","221312"
"Blagoveshchensk","Russia","221296"
"Banja Luka","Bosnia and Herzegovina","221106"
"Babruysk","Belarus","220517"
"Fuencarral-El Pardo","Spain","220085"
"Kremenchuk","Ukraine","220065"
"Messina","Italy","219948"
"Badalona","Spain","219547"
"Oberhausen","Germany","219176"
"Verona","Italy","219103"
"Prokop'yevsk","Russia","219000"
"Terrassa","Spain","218535"
"Mokotow","Poland","217683"
"Rybinsk","Russia","216724"
"Vykhino-Zhulebino","Russia","216000"
"Freiburg","Germany","215966"
"Northampton","United Kingdom","215963"
"Zelenograd","Russia","215727"
"Archway","United Kingdom","215667"
"Biysk","Russia","215430"
"Novi Sad","Serbia","215400"
"Velikiy Novgorod","Russia","215062"
"Centralniy","Russia","214625"
"Lutsk","Ukraine","213661"
"Bergen","Norway","213585"
"Braila","Romania","213569"
"Norwich","United Kingdom","213166"
"Luebeck","Germany","212207"
"Cartagena","Spain","211996"
"Eindhoven","Netherlands","209620"
"Rennes","France","209375"
"Kielce","Poland","208598"
"Jerez de la Frontera","Spain","207532"
"Oradea","Romania","206614"
"Sabadell","Spain","206493"
"Mostoles","Spain","206478"
"Linz","Austria","204846"
"Alcala de Henares","Spain","204574"
"Debrecen","Hungary","204124"
"Padova","Italy","203725"
"Erfurt","Germany","203254"
"Vasyl'evsky Ostrov","Russia","203058"
"Tampere","Finland","202687"
"Harburg","Germany","202571"
"Pskov","Russia","201990"
"Favoriten","Austria","201882"
"Nicosia","Cyprus","200452"
"Charleroi","Belgium","200132"
"Severnyy","Russia","200000"
"Tilburg","Netherlands","199613"
"Balakovo","Russia","199572"
"Armavir","Russia","199548"
"Bila Tserkva","Ukraine","199163"
"Dudley","United Kingdom","199059"
"Hagen","Germany","198972"
"Gliwice","Poland","198835"
"Torun","Poland","198613"
"Pamplona","Spain","198491"
"Rostock","Germany","198293"
"Fuenlabrada","Spain","197836"
"Aberdeen","United Kingdom","196670"
"Reims","France","196565"
"Engels","Russia","196011"
"Burgas","Bulgaria","195966"
"Kassel","Germany","194501"
